172.23.72.224;2023-10-23 10:43:00.341178;-20.453172726;-43.923759212
172.23.72.224;2023-10-23 10:43:33.660696;-20.453929547;-43.924653589
172.23.72.224;2023-10-23 10:44:10.572403;-20.454928160;-43.925573406
172.23.72.224;2023-10-23 10:44:45.007200;-20.455157432;-43.925602379
172.23.72.224;2023-10-23 10:45:18.709822;-20.455091289;-43.925687354
172.23.72.224;2023-10-23 10:45:52.772081;-20.455109665;-43.925654352
172.23.72.224;2023-10-23 10:46:26.597930;-20.455127347;-43.925623665
172.23.72.224;2023-10-23 10:47:00.195299;-20.454918772;-43.925408057
172.23.72.224;2023-10-23 10:47:34.345717;-20.454001638;-43.924722414
172.23.72.224;2023-10-23 10:48:11.389927;-20.453257260;-43.924278656
172.23.72.224;2023-10-23 10:48:44.478906;-20.453323963;-43.924904679
172.23.72.224;2023-10-23 10:49:18.241426;-20.453330074;-43.925914263
172.23.72.224;2023-10-23 10:49:52.249745;-20.453351247;-43.926413029
172.23.72.224;2023-10-23 10:50:26.276316;-20.455894679;-43.926699676
172.23.72.224;2023-10-23 10:51:00.433047;-20.458335086;-43.927584789
172.23.72.224;2023-10-23 10:51:33.228917;-20.460713378;-43.929977332
172.23.72.224;2023-10-23 10:52:13.404514;-20.463968675;-43.931013236
172.23.72.224;2023-10-23 10:52:44.613439;-20.465511900;-43.932357594
172.23.72.224;2023-10-23 10:53:18.920423;-20.463383696;-43.932738117
172.23.72.224;2023-10-23 10:53:52.997290;-20.460737831;-43.933100790
172.23.72.224;2023-10-23 10:54:26.627288;-20.458300244;-43.934164533
172.23.72.224;2023-10-23 10:55:00.479405;-20.457173301;-43.934649608
172.23.72.224;2023-10-23 10:55:34.513430;-20.455807606;-43.934750370
172.23.72.224;2023-10-23 10:56:11.156932;-20.455387199;-43.934612798
172.23.72.224;2023-10-23 10:56:45.436629;-20.455294926;-43.934610601
172.23.72.224;2023-10-23 10:57:19.028461;-20.455293805;-43.934610354
172.23.72.224;2023-10-23 10:57:52.744845;-20.455294436;-43.934610633
172.23.72.224;2023-10-23 10:58:27.093413;-20.455294941;-43.934610582
172.23.72.224;2023-10-23 10:59:01.454347;-20.455371677;-43.934615569
172.23.72.224;2023-10-23 10:59:34.425196;-20.456734554;-43.934742758
172.23.72.224;2023-10-23 11:00:13.369534;-20.459141868;-43.933793860
172.23.72.224;2023-10-23 11:00:43.417353;-20.461074982;-43.933102604
172.23.72.224;2023-10-23 11:01:17.529428;-20.462973196;-43.932600398
172.23.72.224;2023-10-23 11:01:51.551498;-20.464979396;-43.932791654
172.23.72.224;2023-10-23 11:02:24.666112;-20.466762827;-43.932480364
172.23.72.224;2023-10-23 11:02:59.309410;-20.468083563;-43.932002401
172.23.72.224;2023-10-23 11:03:33.129424;-20.467883254;-43.930803260
172.23.72.224;2023-10-23 11:04:10.040587;-20.468116900;-43.931122943
172.23.72.224;2023-10-23 11:04:44.994368;-20.468204859;-43.931226654
172.23.72.224;2023-10-23 11:05:18.850327;-20.468203347;-43.931222667
172.23.72.224;2023-10-23 11:05:52.218691;-20.468171997;-43.931166209
172.23.72.224;2023-10-23 11:06:26.618846;-20.468144154;-43.931101037
172.23.72.224;2023-10-23 11:06:59.986063;-20.467529490;-43.930785613
172.23.72.224;2023-10-23 11:07:34.311377;-20.465240620;-43.929812141
172.23.72.224;2023-10-23 11:08:10.323653;-20.462466904;-43.928311680
172.23.72.224;2023-10-23 11:08:45.472063;-20.461394217;-43.925668584
172.23.72.224;2023-10-23 11:09:17.994105;-20.460731837;-43.924164566
172.23.72.224;2023-10-23 11:09:51.779931;-20.460294234;-43.921709655
172.23.72.224;2023-10-23 11:10:25.737241;-20.462860967;-43.921524864
172.23.72.224;2023-10-23 11:11:00.082643;-20.461668159;-43.919161307
172.23.72.224;2023-10-23 11:11:34.684430;-20.459852451;-43.918816855
172.23.72.224;2023-10-23 11:12:09.031033;-20.457757967;-43.916943919
172.23.72.224;2023-10-23 11:12:43.005410;-20.455396854;-43.916018234
172.23.72.224;2023-10-23 11:13:16.799808;-20.454182502;-43.917173090
172.23.72.224;2023-10-23 11:13:50.530307;-20.454510380;-43.918112581
172.23.72.224;2023-10-23 11:14:25.001093;-20.455121255;-43.918160959
172.23.72.224;2023-10-23 11:14:58.861407;-20.455274846;-43.918181337
172.23.72.224;2023-10-23 11:15:33.125111;-20.455275073;-43.918179591
172.23.72.224;2023-10-23 11:16:09.783620;-20.455274759;-43.918178618
172.23.72.224;2023-10-23 11:16:43.801038;-20.455275018;-43.918178618
172.23.72.224;2023-10-23 11:17:17.664070;-20.455275307;-43.918179282
172.23.72.224;2023-10-23 11:17:51.397436;-20.455275427;-43.918179618
172.23.72.224;2023-10-23 11:18:25.713373;-20.455276125;-43.918179468
