172.23.72.144;2023-10-23 11:05:40.732573;Erro;Erro;
172.23.72.144;2023-10-23 11:06:19.652695;Erro;Erro;
172.23.72.144;2023-10-23 11:06:54.476605;Erro;Erro;
172.23.72.144;2023-10-23 11:07:27.248616;Erro;Erro;
172.23.72.144;2023-10-23 11:08:02.044916;Erro;Erro;
172.23.72.144;2023-10-23 11:08:36.860588;Erro;Erro;
172.23.72.144;2023-10-23 11:09:09.644611;Erro;Erro;
172.23.72.144;2023-10-23 11:09:42.408646;Erro;Erro;
172.23.72.144;2023-10-23 11:10:19.268852;Erro;Erro;
172.23.72.144;2023-10-23 11:10:54.076903;Erro;Erro;
172.23.72.144;2023-10-23 11:11:26.848915;Erro;Erro;
172.23.72.144;2023-10-23 11:12:01.660903;Erro;Erro;
172.23.72.144;2023-10-23 11:12:36.484617;Erro;Erro;
172.23.72.144;2023-10-23 11:13:09.260721;Erro;Erro;
172.23.72.144;2023-10-23 11:13:44.060939;Erro;Erro;
172.23.72.144;2023-10-23 11:14:18.876903;Erro;Erro;
172.23.72.144;2023-10-23 11:14:53.692931;Erro;Erro;
172.23.72.144;2023-10-23 11:15:26.472608;Erro;Erro;
172.23.72.144;2023-10-23 11:16:01.276921;Erro;Erro;
172.23.72.144;2023-10-23 11:16:34.060585;Erro;Erro;
172.23.72.144;2023-10-23 11:17:08.860709;Erro;Erro;
172.23.72.144;2023-10-23 11:17:41.628899;Erro;Erro;
172.23.72.144;2023-10-23 11:18:18.493140;Erro;Erro;
172.23.72.144;2023-10-23 11:18:53.308907;Erro;Erro;
172.23.72.144;2023-10-23 11:19:28.124789;Erro;Erro;
172.23.72.144;2023-10-23 11:20:00.893202;Erro;Erro;
172.23.72.144;2023-10-23 11:20:35.712568;Erro;Erro;
