172.23.72.14;2023-10-23 12:35:31.068893;Erro;Erro;
172.23.72.14;2023-10-23 12:36:05.884565;Erro;Erro;
172.23.72.14;2023-10-23 12:36:40.700947;Erro;Erro;
172.23.72.14;2023-10-23 12:37:13.469079;Erro;Erro;
172.23.72.14;2023-10-23 12:37:50.332809;Erro;Erro;
172.23.72.14;2023-10-23 12:38:23.100886;Erro;Erro;
172.23.72.14;2023-10-23 12:38:57.916895;Erro;Erro;
172.23.72.14;2023-10-23 12:39:32.732903;Erro;Erro;
172.23.72.14;2023-10-23 12:40:05.500562;Erro;Erro;
172.23.72.14;2023-10-23 12:40:40.317226;Erro;Erro;
172.23.72.14;2023-10-23 12:41:13.084884;Erro;Erro;
172.23.72.14;2023-10-23 12:41:47.900777;Erro;Erro;
172.23.72.14;2023-10-23 12:42:22.716766;Erro;Erro;
172.23.72.14;2023-10-23 12:42:57.532939;Erro;Erro;
172.23.72.14;2023-10-23 12:43:32.348947;Erro;Erro;
172.23.72.14;2023-10-23 12:44:05.120563;Erro;Erro;
172.23.72.14;2023-10-23 12:44:39.932787;Erro;Erro;
172.23.72.14;2023-10-23 12:45:18.844898;Erro;Erro;
172.23.72.14;2023-10-23 12:45:53.660908;Erro;Erro;
172.23.72.14;2023-10-23 12:46:26.428739;Erro;Erro;
172.23.72.14;2023-10-23 12:47:01.244889;Erro;Erro;
172.23.72.14;2023-10-23 12:47:36.060574;Erro;Erro;
172.23.72.14;2023-10-23 12:48:10.876911;Erro;Erro;
172.23.72.14;2023-10-23 12:48:43.651735;Erro;Erro;
172.23.72.14;2023-10-23 12:49:22.556896;Erro;Erro;
172.23.72.14;2023-10-23 12:49:57.372900;Erro;Erro;
172.23.72.14;2023-10-23 12:50:30.140780;Erro;Erro;
172.23.72.14;2023-10-23 12:51:04.956565;Erro;Erro;
172.23.72.14;2023-10-23 12:51:39.772617;Erro;Erro;
172.23.72.14;2023-10-23 12:52:14.593000;Erro;Erro;
172.23.72.14;2023-10-23 12:52:51.452770;Erro;Erro;
172.23.72.14;2023-10-23 12:53:26.268735;Erro;Erro;
172.23.72.14;2023-10-23 12:54:01.084868;Erro;Erro;
172.23.72.14;2023-10-23 12:54:35.900600;Erro;Erro;
172.23.72.14;2023-10-23 12:55:10.716908;Erro;Erro;
172.23.72.14;2023-10-23 12:55:43.490972;Erro;Erro;
172.23.72.14;2023-10-23 12:56:22.400973;Erro;Erro;
172.23.72.14;2023-10-23 12:56:57.216897;Erro;Erro;
172.23.72.14;2023-10-23 12:57:29.980860;Erro;Erro;
172.23.72.14;2023-10-23 12:58:04.796746;Erro;Erro;
172.23.72.14;2023-10-23 12:58:39.612889;Erro;Erro;
172.23.72.14;2023-10-23 12:59:14.437141;Erro;Erro;
172.23.72.14;2023-10-23 12:59:49.244857;Erro;Erro;
172.23.72.14;2023-10-23 13:00:24.060890;Erro;Erro;
172.23.72.14;2023-10-23 13:00:58.876943;Erro;Erro;
172.23.72.14;2023-10-23 13:01:33.692564;Erro;Erro;
172.23.72.14;2023-10-23 13:02:06.460520;Erro;Erro;
172.23.72.14;2023-10-23 13:02:41.276896;Erro;Erro;
172.23.72.14;2023-10-23 13:03:16.092748;Erro;Erro;
172.23.72.14;2023-10-23 13:03:52.956887;Erro;Erro;
172.23.72.14;2023-10-23 13:04:27.772799;Erro;Erro;
172.23.72.14;2023-10-23 13:05:02.592903;Erro;Erro;
172.23.72.14;2023-10-23 13:05:37.412640;Erro;Erro;
172.23.72.14;2023-10-23 13:06:10.180689;Erro;Erro;
172.23.72.14;2023-10-23 13:06:47.036892;Erro;Erro;
172.23.72.14;2023-10-23 13:07:21.852867;Erro;Erro;
172.23.72.14;2023-10-23 13:07:56.668920;Erro;Erro;
172.23.72.14;2023-10-23 13:08:31.484890;Erro;Erro;
172.23.72.14;2023-10-23 13:09:06.312578;Erro;Erro;
172.23.72.14;2023-10-23 13:09:39.068907;Erro;Erro;
172.23.72.14;2023-10-23 13:10:15.932945;Erro;Erro;
172.23.72.14;2023-10-23 13:10:52.796932;Erro;Erro;
172.23.72.14;2023-10-23 13:11:27.640643;Erro;Erro;
172.23.72.14;2023-10-23 13:12:02.428897;Erro;Erro;
172.23.72.14;2023-10-23 13:12:35.196660;Erro;Erro;
172.23.72.14;2023-10-23 13:13:10.012835;Erro;Erro;
172.23.72.14;2023-10-23 13:13:46.876949;Erro;Erro;
172.23.72.14;2023-10-23 13:14:23.752614;Erro;Erro;
172.23.72.14;2023-10-23 13:14:58.556942;Erro;Erro;
172.23.72.14;2023-10-23 13:15:33.376984;Erro;Erro;
172.23.72.14;2023-10-23 13:16:08.192872;Erro;Erro;
172.23.72.14;2023-10-23 13:16:40.956889;Erro;Erro;
172.23.72.14;2023-10-23 13:17:17.828863;Erro;Erro;
172.23.72.14;2023-10-23 13:17:52.648655;Erro;Erro;
172.23.72.14;2023-10-23 13:18:27.460903;Erro;Erro;
172.23.72.14;2023-10-23 13:19:02.280648;Erro;Erro;
172.23.72.14;2023-10-23 13:19:35.036652;Erro;Erro;
172.23.72.14;2023-10-23 13:20:09.852769;Erro;Erro;
172.23.72.14;2023-10-23 13:20:48.772898;Erro;Erro;
172.23.72.14;2023-10-23 13:21:23.580890;Erro;Erro;
172.23.72.14;2023-10-23 13:21:56.348746;Erro;Erro;
172.23.72.14;2023-10-23 13:22:31.164782;Erro;Erro;
