172.23.72.194;2023-10-23 11:02:52.796956;Erro;Erro;
172.23.72.194;2023-10-23 11:03:27.612940;Erro;Erro;
172.23.72.194;2023-10-23 11:04:00.388902;Erro;Erro;
172.23.72.194;2023-10-23 11:04:35.200596;Erro;Erro;
172.23.72.194;2023-10-23 11:05:10.012911;Erro;Erro;
172.23.72.194;2023-10-23 11:05:42.787743;Erro;Erro;
172.23.72.194;2023-10-23 11:06:19.652847;Erro;Erro;
172.23.72.194;2023-10-23 11:06:54.468851;Erro;Erro;
172.23.72.194;2023-10-23 11:07:29.276917;Erro;Erro;
172.23.72.194;2023-10-23 11:08:02.048912;Erro;Erro;
172.23.72.194;2023-10-23 11:08:36.868596;Erro;Erro;
172.23.72.194;2023-10-23 11:09:09.628635;Erro;Erro;
172.23.72.194;2023-10-23 11:09:44.456534;Erro;Erro;
172.23.72.194;2023-10-23 11:10:19.268856;Erro;Erro;
172.23.72.194;2023-10-23 11:10:52.038734;Erro;Erro;
172.23.72.194;2023-10-23 11:11:28.892906;Erro;Erro;
172.23.72.194;2023-10-23 11:12:01.660903;Erro;Erro;
172.23.72.194;2023-10-23 11:12:36.480560;Erro;Erro;
172.23.72.194;2023-10-23 11:13:11.292928;Erro;Erro;
172.23.72.194;2023-10-23 11:13:44.061277;Erro;Erro;
172.23.72.194;2023-10-23 11:14:18.888637;Erro;Erro;
172.23.72.194;2023-10-23 11:14:53.692932;Erro;Erro;
172.23.72.194;2023-10-23 11:15:26.460905;Erro;Erro;
172.23.72.194;2023-10-23 11:16:01.280858;Erro;Erro;
172.23.72.194;2023-10-23 11:16:34.048584;Erro;Erro;
172.23.72.194;2023-10-23 11:17:08.884612;Erro;Erro;
172.23.72.194;2023-10-23 11:17:41.636891;Erro;Erro;
172.23.72.194;2023-10-23 11:18:18.508645;Erro;Erro;
172.23.72.194;2023-10-23 11:18:53.332651;Erro;Erro;
172.23.72.194;2023-10-23 11:19:28.124925;Erro;Erro;
172.23.72.194;2023-10-23 11:20:00.900852;Erro;Erro;
172.23.72.194;2023-10-23 11:20:35.716571;Erro;Erro;
172.23.72.194;2023-10-23 11:21:08.477140;Erro;Erro;
172.23.72.194;2023-10-23 11:21:43.300665;Erro;Erro;
172.23.72.194;2023-10-23 11:22:20.156897;Erro;Erro;
172.23.72.194;2023-10-23 11:22:54.972913;Erro;Erro;
172.23.72.194;2023-10-23 11:23:27.744897;Erro;Erro;
172.23.72.194;2023-10-23 11:24:02.572631;Erro;Erro;
172.23.72.194;2023-10-23 11:24:37.380595;Erro;Erro;
172.23.72.194;2023-10-23 11:25:10.156706;Erro;Erro;
172.23.72.194;2023-10-23 11:25:44.956910;Erro;Erro;
172.23.72.194;2023-10-23 11:26:21.820906;Erro;Erro;
172.23.72.194;2023-10-23 11:26:54.588907;Erro;Erro;
172.23.72.194;2023-10-23 11:27:29.408917;Erro;Erro;
172.23.72.194;2023-10-23 11:28:02.172888;Erro;Erro;
172.23.72.194;2023-10-23 11:28:36.992574;Erro;Erro;
172.23.72.194;2023-10-23 11:29:09.772628;Erro;Erro;
172.23.72.194;2023-10-23 11:29:44.573046;Erro;Erro;
172.23.72.194;2023-10-23 11:30:21.440868;Erro;Erro;
172.23.72.194;2023-10-23 11:30:54.220629;Erro;Erro;
